structure,run_id,seed,stopped_early,total_energy_j,best_val_r2,test_r2,background_power_watts,energy_to_0.5,energy_to_0.75
100,1,149,False,1290.2153970423296,0.7922038322863405,0.7775597017134296,2.1258247,0.1360830559835434,14.089947809060574
100,2,156,False,1297.160808930217,0.8054257192140479,0.7779508379106808,2.1332892,0.1652551514367103,24.26725093778696
100,3,163,False,1278.2251741170355,0.7998442919714663,0.7921001147966331,2.1156806,0.1742818231246948,17.20638090308547
100,4,170,False,1277.6440279309372,0.8028624949475658,0.761221804338556,2.0774543999999997,0.1431419103466034,22.96046115406456
100,5,177,False,1277.404185178977,0.7821589763696948,0.8013983749543379,2.1621527,0.1549401269376516,126.71095698598128
"100,100",1,449,False,2296.8698199185224,0.7753199144776584,0.749982303907494,2.2358707,2.5911954480466366,32.652423231999826
"100,100",2,456,False,2766.649706013095,0.7907532337811061,0.768037712355379,2.1313239,6.725785360684037,100.80035770778647
"100,100",3,463,False,1786.6397269121105,0.8055376847867091,0.7531259101384933,2.2109075000000002,1.52128151439476,9.822005281643747
"100,100",4,470,False,2179.8225155894006,0.7942144784325054,0.7610983376293635,2.1534064,1.5082423634559632,7.7293779176269535
"100,100",5,477,False,1942.1453006251468,0.8167474339612004,0.7358764132527662,2.0436105,1.4883566776082515,5.693476422826052
200,1,249,False,1988.0595271512034,0.7874408349262522,0.791701691208337,2.1809757999999997,0.2651804167561055,108.32108659034286
200,2,256,False,1141.8764367300578,0.7904341614670434,0.7945526350902417,2.2185185,0.4954204736554622,25.837308389496208
200,3,263,False,1295.716089041409,0.7993666210031791,0.7823749940732447,2.1578802,0.272689252055502,208.4956844825957
200,4,270,False,1315.610447307851,0.7964047833865444,0.8033144414688429,2.0833137,0.2429605221268653,30.20627191207633
200,5,277,False,1290.7119090725514,0.7846396439041504,0.7727581905792802,2.1018439,0.349315485895586,32.40581507557235
"200,200",1,549,False,39328.43298875464,0.8204713763579702,0.7021507015834694,2.128974,12.16449575174141,39.27137417842865
50,1,49,False,664.0744270861406,0.7955338419305809,0.786468101126822,2.1651800000000003,0.1107465942764282,25.46842130748177
50,2,56,False,663.1578406446654,0.7785108276020247,0.756194612123643,2.0640206,0.1234339428276539,22.959366443890048
50,3,63,False,665.9526570226092,0.791779331389949,0.7965345450177399,2.0578195,0.1154525927195549,19.05486597767222
50,4,70,False,667.1796821309721,0.7907635287651862,0.7870728179030566,2.0719003000000003,0.1335818097591876,31.156721158231207
50,5,77,False,665.2114998616171,0.8004837381380163,0.7549513862068641,2.147132,0.1351698953466415,17.167138031651497
"50,50",1,349,False,1187.1524358197116,0.8134003627844524,0.8053412731531482,2.1464789,0.2068101619465828,16.29102241064825
"50,50",2,356,False,1994.6781042616908,0.7990380116164988,0.8026855630031003,2.1051399,0.1799135697825193,34.803980853089286
"50,50",3,363,False,1157.6498074112214,0.7898385237581651,0.8059649230209722,2.1721379,0.2246379370497703,20.94553422336588
"50,50",4,370,False,1200.0654108606036,0.8073147417298281,0.7841082677218884,2.2613773,0.2208088200988292,15.647921883266116
"50,50",5,377,False,1645.470560203359,0.8116491472826577,0.7880725954183638,2.1295539000000003,0.2047250104402304,14.30465558444507
